timestamp,device_id,flow_rate,press_out,press_in,temp_de,temp_nde,vib_rms_de,vib_rms_nde,motor_current,operating_state,alarm_code
2026-09-13 00:00:00,PUMP-IS100-80-160-01,100.25,0.312,0.021,45.6,42.9,1.44,1.44,22.73,NORMAL,NONE
2026-09-13 00:00:05,PUMP-IS100-80-160-01,99.77,0.313,0.019,44.8,43.1,1.34,1.25,22.33,NORMAL,NONE
2026-09-13 00:00:10,PUMP-IS100-80-160-01,99.49,0.313,0.018,44.4,43.6,1.44,1.35,22.07,NORMAL,NONE
2026-09-13 00:00:15,PUMP-IS100-80-160-01,99.73,0.312,0.018,45.2,42.8,1.43,1.31,23.06,NORMAL,NONE
2026-09-13 00:00:20,PUMP-IS100-80-160-01,99.99,0.31,0.022,44.5,43.1,1.33,1.27,22.56,NORMAL,NONE
2026-09-13 00:00:25,PUMP-IS100-80-160-01,100.37,0.312,0.02,44.9,42.4,1.41,1.32,22.82,NORMAL,NONE
2026-09-13 00:00:30,PUMP-IS100-80-160-01,100.17,0.308,0.021,44.8,42.7,1.49,1.41,22.78,NORMAL,NONE
2026-09-13 00:00:35,PUMP-IS100-80-160-01,99.58,0.311,0.021,45.4,42.8,1.44,1.28,22.14,NORMAL,NONE
2026-09-13 00:00:40,PUMP-IS100-80-160-01,100.41,0.315,0.02,45.4,43.1,1.41,1.37,22.96,NORMAL,NONE
2026-09-13 00:00:45,PUMP-IS100-80-160-01,99.98,0.315,0.015,45.3,43.0,1.43,1.36,21.9,NORMAL,NONE
2026-09-13 00:00:50,PUMP-IS100-80-160-01,99.89,0.313,0.023,44.8,42.7,1.42,1.4,22.6,NORMAL,NONE
2026-09-13 00:00:55,PUMP-IS100-80-160-01,99.74,0.313,0.02,45.4,42.7,1.43,1.33,22.06,NORMAL,NONE
2026-09-13 00:01:00,PUMP-IS100-80-160-01,100.15,0.313,0.02,44.9,42.4,1.42,1.33,22.26,NORMAL,NONE
2026-09-13 00:01:05,PUMP-IS100-80-160-01,99.92,0.313,0.024,45.1,43.1,1.45,1.23,22.49,NORMAL,NONE
2026-09-13 00:01:10,PUMP-IS100-80-160-01,100.03,0.317,0.02,45.1,43.0,1.38,1.42,22.73,NORMAL,NONE
2026-09-13 00:01:15,PUMP-IS100-80-160-01,100.4,0.31,0.023,44.4,43.2,1.58,1.29,22.33,NORMAL,NONE
2026-09-13 00:01:20,PUMP-IS100-80-160-01,100.05,0.311,0.017,45.0,42.6,1.48,1.29,22.96,NORMAL,NONE
2026-09-13 00:01:25,PUMP-IS100-80-160-01,99.61,0.311,0.022,44.5,43.1,1.53,1.25,22.56,NORMAL,NONE
2026-09-13 00:01:30,PUMP-IS100-80-160-01,100.13,0.314,0.018,44.5,43.2,1.47,1.37,22.6,NORMAL,NONE
